ID,Ponto,LATITUDE,LONGITUDE,Fazenda,Município,Textura,Uso atual,Cultura,Manejo,Época,Data da coleta,A,E,gs,Ca,Ci,Ci/Ca,EUA,A/Ci,YII,ETR,Chl a,Chl b,IAF,Chl a.1,Chl b.1,IAF.1,IAF.2,Estágio,Peso Seco
D-58,58,-17.7406,-50.9002,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-11,11,-17.4346,-51.1855,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-55,55,-17.4855,-50.9475,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-19,19,-17.4499,-50.8462,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-44,44,-17.5117,-51.1408,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-67,67,-17.5254,-51.0666,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-81,81,-17.6318,-51.0162,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-55,55,-17.8596,-50.8472,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-86,86,-17.5929,-51.107,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-39,39,-17.7073,-51.0917,Farm B,Municipality 1,,Anual,Soja,,Verão,2025-12-19,11.8929,4.1521,0.1953,412.091,252.125,0.6118,2.8643,0.04717,0.6743,119.34,23.01,10.75,1.82,24.29,10.11,1.98,1.82,R1,57.47
D-84,84,-17.5267,-51.1922,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-03,3,-17.8125,-51.1591,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-03,3,-17.8241,-51.0592,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-24,24,-17.8224,-50.9062,Farm A,Municipality 1,,Perene,Cana-de-açúcar,,Verão,2025-12-19,19.267,3.8826,0.265,412.721,294.244,0.7129,4.9625,0.06548,0.6698,134.654,27.65,15.06,3.17,28.86,16.44,2.83,3.27,V4,64.19
D-61,61,-17.4794,-50.8036,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-23,23,-17.4771,-50.9533,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-01-23,12.7146,3.7621,0.2335,422.581,229.659,0.5435,3.3796,0.05536,0.5699,113.86,29.44,14.73,2.75,29.5,14.49,3.02,2.59,R1,67.75
D-61,61,-17.6519,-50.8323,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-60,60,-17.6774,-50.9299,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-32,32,-17.5872,-50.8651,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-65,65,-17.6132,-51.0008,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-82,82,-17.8057,-50.8819,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-33,33,-17.7166,-50.913,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-74,74,-17.4385,-50.8054,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-16,16,-17.4603,-51.1513,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-72,72,-17.7503,-51.181,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-46,46,-17.6421,-51.0993,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-75,75,-17.6259,-51.0295,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-56,56,-17.4423,-51.0376,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-19,19,-17.4717,-50.9086,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-79,79,-17.5176,-50.8623,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-09,9,-17.8479,-51.0341,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-03,3,-17.8247,-51.1276,Farm B,Municipality 1,,Anual,Soja,,Verão,2025-12-19,15.2363,2.9398,0.1667,425.686,250.739,0.589,5.1827,0.06077,0.8139,180.119,35.28,11.39,3.31,32.93,11.9,3.17,3.59,R3,37.11
D-44,44,-17.6674,-51.1167,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-30,30,-17.7062,-50.8087,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-72,72,-17.8844,-50.9238,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-73,73,-17.6952,-50.9789,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-44,44,-17.7713,-50.8693,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-02-28,26.3956,6.8339,0.2665,414.692,286.118,0.69,3.8624,0.09225,0.717,162.232,28.49,13.39,2.74,29.38,14.62,3.1,2.65,R3,92.46
D-52,52,-17.7969,-51.1253,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-04,4,-17.6302,-51.0646,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-02-28,12.812,2.9295,0.1728,401.508,243.898,0.6075,4.3734,0.05253,0.6595,147.668,26.73,10.52,3.26,27.18,12.15,3.24,3.19,R3,69.93
D-35,35,-17.6698,-51.1477,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-38,38,-17.6421,-50.849,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-09,9,-17.432,-51.1533,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-89,89,-17.4144,-50.8324,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-88,88,-17.7745,-51.0612,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-43,43,-17.8266,-51.0655,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-72,72,-17.8406,-50.9952,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-52,52,-17.41,-51.0991,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-90,90,-17.8013,-50.8556,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-15,15,-17.6217,-51.0977,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-88,88,-17.7298,-50.9241,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-72,72,-17.5866,-51.0587,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-28,28,-17.5121,-51.1552,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-05,5,-17.6533,-50.9393,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-70,70,-17.6406,-50.9821,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-16,16,-17.541,-51.0229,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-55,55,-17.5753,-50.8287,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-10,10,-17.7816,-50.9889,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-43,43,-17.8126,-51.1884,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-54,54,-17.4433,-50.839,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-80,80,-17.832,-50.9803,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-77,77,-17.6173,-51.1828,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-11,11,-17.8572,-51.0755,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-06,6,-17.8429,-50.907,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-02-28,19.9226,4.9519,0.1327,425.689,274.758,0.6454,4.0232,0.07251,0.6557,123.964,15.95,7.53,2.86,16.3,8.82,2.56,2.93,R1,121.43
D-69,69,-17.5781,-50.8466,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-70,70,-17.6623,-50.9645,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-55,55,-17.8023,-51.036,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-90,90,-17.6951,-51.1272,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-24,24,-17.6778,-51.0631,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-06,6,-17.459,-51.1571,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-10,10,-17.442,-50.8599,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-22,22,-17.8755,-51.0383,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-87,87,-17.808,-51.0873,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-68,68,-17.6291,-50.9362,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-43,43,-17.4903,-51.0006,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-53,53,-17.5869,-50.8351,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-07,7,-17.645,-50.8653,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-88,88,-17.7086,-50.808,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-40,40,-17.5062,-50.9471,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-33,33,-17.8308,-50.8903,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-01-23,15.112,3.0269,0.2108,426.632,245.269,0.5749,4.9926,0.06161,0.8067,164.784,27.7,7.78,3.46,25.31,7.05,3.52,3.79,V4,141.18
D-63,63,-17.8333,-51.1231,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-43,43,-17.4336,-51.0434,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-02-28,23.9709,6.8506,0.2571,427.415,315.369,0.7379,3.4991,0.07601,0.6953,162.82,25.35,14.13,3.15,27.62,13.5,3.23,2.97,V4,72.43
D-14,14,-17.8023,-50.8162,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-37,37,-17.8351,-50.8414,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-19,19,-17.7538,-50.9917,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-88,88,-17.4064,-51.182,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-39,39,-17.8056,-50.9091,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-89,89,-17.8121,-51.1116,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-35,35,-17.4026,-50.8508,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-24,24,-17.5474,-51.1731,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-01,1,-17.8117,-50.8702,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-31,31,-17.4065,-50.8501,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-82,82,-17.8528,-50.8023,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-39,39,-17.8344,-50.9447,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-08,8,-17.7899,-51.0133,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-49,49,-17.8293,-51.0536,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-52,52,-17.587,-51.1193,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-01-23,14.0147,3.4543,0.1354,424.46,248.557,0.5856,4.0572,0.05638,0.7591,201.727,25.1,13.08,3.3,22.74,14.09,3.65,3.09,R3,129.59
D-58,58,-17.8606,-51.0461,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-55,55,-17.8035,-51.1056,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-11,11,-17.8706,-50.9609,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-89,89,-17.5136,-51.0915,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-15,15,-17.5329,-51.1139,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-40,40,-17.6484,-50.8037,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-83,83,-17.7746,-51.054,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-18,18,-17.7078,-50.8527,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-03,3,-17.8794,-51.1419,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-44,44,-17.5754,-50.9704,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-79,79,-17.7957,-51.0007,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-06,6,-17.8691,-51.1898,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-88,88,-17.7725,-50.9101,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-32,32,-17.7691,-50.9492,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-77,77,-17.4986,-50.8428,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-56,56,-17.7999,-50.928,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-72,72,-17.7272,-50.8792,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-86,86,-17.5913,-51.1393,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-29,29,-17.6795,-51.0343,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-44,44,-17.83,-50.9289,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-19,19,-17.6315,-50.9379,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-10,10,-17.7597,-51.0232,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-25,25,-17.5417,-51.0853,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-12,12,-17.893,-51.0662,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-42,42,-17.6931,-50.8906,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-70,70,-17.5203,-50.9784,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-13,13,-17.5677,-50.8615,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-30,30,-17.7093,-50.8497,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-64,64,-17.7955,-51.1208,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-64,64,-17.6406,-51.0083,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-33,33,-17.8845,-50.9108,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-04,4,-17.7527,-51.1909,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-67,67,-17.6867,-51.1224,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-21,21,-17.6126,-51.0131,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-44,44,-17.4828,-50.9906,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-09,9,-17.5917,-51.0832,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-71,71,-17.75,-51.1541,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-72,72,-17.4687,-50.8658,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-06,6,-17.5287,-51.1013,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-20,20,-17.4891,-51.137,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-47,47,-17.6682,-50.9239,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-01-23,20.1547,5.4071,0.1991,405.56,262.915,0.6483,3.7274,0.07666,0.7426,145.528,30.83,16.51,2.94,30.79,15.26,2.99,3.18,V4,90.86
D-29,29,-17.4457,-50.8834,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-17,17,-17.7787,-51.0533,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-59,59,-17.6812,-50.9741,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-03,3,-17.6182,-51.0018,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-31,31,-17.7727,-51.0456,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-25,25,-17.6346,-50.8615,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-50,50,-17.8849,-50.8737,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-11,11,-17.6638,-50.9961,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-44,44,-17.8139,-51.1319,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-25,25,-17.6547,-50.9881,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-01-23,25.9433,8.9973,0.3062,419.235,250.596,0.5977,2.8834,0.10353,0.71,144.983,23.66,11.36,2.64,23.78,11.36,2.75,2.93,R1,117.95
D-11,11,-17.6088,-51.0808,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-50,50,-17.4789,-50.8226,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-01-23,20.2667,5.9414,0.2717,411.963,293.731,0.713,3.4111,0.069,0.7697,168.662,34.23,13.88,1.89,35.06,14.02,1.96,2.26,V4,109.52
D-08,8,-17.6374,-51.0729,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-71,71,-17.8459,-51.1039,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-15,15,-17.4941,-51.0602,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-42,42,-17.6541,-50.9885,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-82,82,-17.8556,-51.0373,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-51,51,-17.4732,-51.0412,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-43,43,-17.494,-51.0941,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-74,74,-17.8891,-50.8605,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-90,90,-17.6835,-51.0247,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-18,18,-17.8154,-51.1153,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-74,74,-17.7665,-50.8561,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-11,11,-17.8663,-50.8274,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-15,15,-17.5745,-50.8383,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-60,60,-17.6467,-51.0053,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-77,77,-17.7108,-51.1201,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-74,74,-17.6113,-50.9121,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-13,13,-17.5669,-51.1185,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-63,63,-17.8599,-51.0949,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-69,69,-17.7068,-51.0416,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-66,66,-17.4239,-51.0744,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-40,40,-17.5198,-51.011,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-21,21,-17.4263,-51.0741,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-41,41,-17.4352,-51.1601,Farm B,Municipality 1,,Anual,Soja,,Verão,2026-02-28,13.4327,3.7476,0.181,409.606,319.376,0.7797,3.5843,0.04206,0.7088,116.771,29.49,13.66,2.71,26.11,12.7,3.04,2.7,V4,110.81
D-33,33,-17.6229,-50.9513,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-22,22,-17.4728,-51.1917,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-61,61,-17.7997,-51.1258,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-52,52,-17.725,-51.0443,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-82,82,-17.6026,-50.9433,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-42,42,-17.8626,-51.1559,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-50,50,-17.7124,-51.1849,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-66,66,-17.4935,-50.8475,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-87,87,-17.567,-51.0595,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-75,75,-17.6555,-51.1851,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-12,12,-17.7466,-51.0273,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-50,50,-17.615,-51.1383,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-27,27,-17.7745,-50.9476,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-76,76,-17.4462,-51.1716,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-40,40,-17.8674,-51.17,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-24,24,-17.5399,-50.9434,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-14,14,-17.7992,-50.8448,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-55,55,-17.7471,-50.837,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-02,2,-17.4659,-51.1561,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-13,13,-17.8236,-51.1126,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-84,84,-17.8829,-50.8919,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-05,5,-17.7816,-51.1881,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-88,88,-17.4569,-51.0914,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-32,32,-17.6607,-50.8772,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-09,9,-17.8433,-50.973,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-66,66,-17.8875,-51.095,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-27,27,-17.6724,-51.0793,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-59,59,-17.8198,-50.9558,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-76,76,-17.7399,-51.11,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-41,41,-17.4383,-50.8465,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-23,23,-17.5885,-51.032,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-60,60,-17.7944,-51.1486,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-05,5,-17.7557,-51.1035,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-62,62,-17.4941,-50.896,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-69,69,-17.4747,-51.0215,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-17,17,-17.8192,-50.9551,Farm A,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
D-76,76,-17.8493,-51.0765,Farm B,Municipality 1,,,,,,,,,,,,,,,,,,,,,,,,,
